Catagory,,,Price
,,,
Printing,,,
,Matte Black Filliment,https://www.amazon.com/gp/product/B08QMBPZBF/ref=ox_sc_act_title_1?smid=A3MZ696ES2UN1L&psc=1,20
Lens,,,
,Large formate lens,,Market price
,M65 thread plate,https://rafcamera.com/adapter-34-6mm-to-m65x1m,27.5
,Round lens plate,https://rafcamera.com/board-m65x1f-8holes,27.5
,Extension tube,https://www.aliexpress.com/i/3256803519231739.html?gatewayAdapt=4itemAdapt,27.6
Viewfinder,,,
,1/4 20 heat set insert,https://www.amazon.com/Yinpecly-Embedment-Assortment-Electrical-Appliances/dp/B08TR4BRF3/ref=sr_1_11?crid=28WP7GRHMV2DY&keywords=1%2F4%2B20%2Bheat%2Bset%2Binsert&qid=1702252605&s=hi&sprefix=1%2F4%2B20%2Bheat%2Bset%2Binsert%2Ctools%2C78&sr=1-11&th=1,5.99
,Viewfinder app,https://apps.apple.com/bt/app/viewfinder-preview/id1216484605,4.99
,Hot shoe to 1/4 20,https://www.amazon.com/Camera-Mount-Tripod-Screw-Adapter/dp/B018UJLIOE?th=1,6.89
Other,,,
,Magnets,https://www.mcmaster.com/catalog/129/3917/5862K402,3.04
,One way berring,https://www.mcmaster.com/6392K43/,21.5
,Verious screws,https://www.amazon.com/gp/product/B08QD86364/ref=ox_sc_act_title_1?smid=A286O29JJYZD4N&psc=1,18.18
,Heat set inserts,https://www.amazon.com/EEEEE-Threaded-Assortment-Printing-Injection/dp/B0B47MZ1SG/ref=sr_1_4?crid=18T4UWQQKMQOB&keywords=m2%2Band%2Bm2.5%2Bheat%2Bset%2Binserts&qid=1701744151&sprefix=m2%2Band%2Bm2.5%2Bheat%2Bset%2Binserts%2Caps%2C209&sr=8-4&th=1,13
,Brass rods,https://www.amazon.com/gp/product/B01C6LUO5Q/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,3
,,,
,,Shipping and tax estimate,20
,,,179.19
